fh,polarization,centralFreq,Int000,Int001,S100,S010,S001,S200,S110,S101,S020,S011,S002
21,M,70000,0.9958671105466995,0.9929770835223679,0.004623009650258522,-0.00010971826222632753,0.9958563739878903,0.004211702906135016,-7.351246479541114e-05,0.0008353674670689969,0.0005681139136758914,-3.3016802131214454e-05,0.9952201831801893
22,S,70000,0.9968327925875851,0.9942130540093543,0.0037054869575387475,-0.00028488566231200507,0.9968258647248928,0.0032613068193975384,-0.00023758611216423092,0.0008756082168012006,0.0005219890489052301,-8.349975661465604e-05,0.9962167041316974
22,M,70000,0.9970741081715103,0.9947621703401036,0.0033004293180281833,-0.00017793063393233084,0.9970686298811225,0.0029203846813094215,-0.0001450903576886768,0.0006979620369849662,0.0005384533078116745,-3.888801215023945e-05,0.9965411620108787
23,S,70000,0.9970659443948872,0.9947728225977833,0.0032978421041519952,-0.00040593910203554973,0.9970604078605115,0.002955114491034556,-0.00034492333548437283,0.0006515269001866628,0.00046792721497242596,-9.993951795645871e-05,0.9965769582939926
23,M,70000,0.9975523487605658,0.9956192949540634,0.002690629107717412,-0.0002702435141344885,0.9975486835243527,0.0024077061636818766,-0.00023497238121630113,0.0005012401733638191,0.0004405572639062196,-4.8699840314202366e-05,0.9971517365724116
1,A,100000,0.9988113451274526,0.9976938161520074,0.0014849497288915395,3.0289721766922197e-05,0.9988102408176174,0.001154800841787104,3.736472843080568e-05,0.0005263234019018901,0.0003780000961864533,8.95073769861959e-06,0.9984671990620266
1,B,100000,0.9988838122111964,0.9979198769841848,0.001344213395942724,1.4673773675456815e-05,0.9988829076386276,0.0010400202903216842,1.869105786612165e-05,0.0004571662887077069,0.00039099924339048144,-1.4167222516922543e-06,0.9985689804662885
2,A,100000,0.9991044738417026,0.9982474534363787,0.0011147750998872273,1.7718036502304758e-05,0.9991038517656977,0.0008588755049841209,1.2608811209850014e-05,0.0004106377528715187,0.00031562599436148095,1.0537932872038997e-05,0.9988254985006547
2,B,100000,0.9991078092620056,0.9982530372091961,0.0011104598958385438,3.851257466797531e-05,0.9991071914083721,0.0008565959761658989,1.408288065189533e-05,0.0004086159352305157,0.00031368391519380343,2.381107503836142e-05,0.9988297201086405
3,A,100000,0.999097996677424,0.998196507370471,0.001145077240803911,-3.593223759477075e-05,0.9990973398382307,0.0008852921193326217,-1.342970629385252e-05,0.00043100613407910513,0.00030215569684667826,-2.54219328095604e-05,0.9988125521838206
3,B,100000,0.999116570779688,0.998306612372022,0.0010766283912568583,-2.8041182820730646e-05,0.9991159903092145,0.0008287710488353933,-1.2317163462023787e-05,0.00038618590372618974,0.0003254933385507171,-1.8125332087670897e-05,0.9988457356126137
4,A,100000,0.998808529862919,0.9976900966028998,0.0014862556424539183,-2.8246031806760236e-05,0.9988074236674718,0.0011574284749602283,-3.645236600146063e-05,0.0005252069235665768,0.0003786553421251847,-8.148746977140367e-06,0.9984639161829146
4,B,100000,0.9988796112809605,0.9979141486624246,0.001348323735024997,-9.759309686691695e-06,0.9988787012248606,0.0010430727190426515,-1.6892288164551977e-05,0.000458034264205268,0.00039292274179860375,3.8054057689098495e-06,0.9985640045391593
1,A,143000,0.9993861014851568,0.998733676417696,0.0006878400705535962,-2.085117322679873e-05,0.9993858645603139,0.0005255105641576441,-4.7209856695220635e-06,0.00023001874862408012,0.00027662798133430125,-6.872849567784468e-06,0.9991978614545092
1,B,143000,0.9993745810564996,0.9987263295832026,0.000695152439205658,7.285465048038287e-05,0.9993743366312446,0.0005309574120472964,3.593224331883836e-05,0.00022692001859452322,0.00027861821045641175,4.253867777700316e-05,0.9991904243774962
2,A,143000,0.9993853364224532,0.9987416749706745,0.000678214503446914,-4.342858193121194e-05,0.9993851053499174,0.0005263290414785354,-1.63264149848406e-05,0.00021790446064457695,0.0002731456224396284,-2.197349013301765e-05,0.9992005253360824
2,B,143000,0.9993849989316295,0.9987427281195475,0.0006762605317769081,3.970323032645875e-05,0.9993847693380762,0.0005252481938655776,3.0120217040077994e-05,0.0002148693223513425,0.00027158479392403644,1.0678604817660166e-05,0.9992031670122103
3,A,143000,0.999395429982254,0.9987170313204519,0.0006757804689737525,-7.756830295377714e-06,0.9993952014743736,0.0005199149525222776,-5.723833841893131e-06,0.000223617273535818,0.0002674445093252571,-5.590676376302274e-06,0.9992126405381512
3,B,143000,0.9993721135534558,0.998766448880098,0.0006849799822797461,-2.155114826467715e-05,0.9993718785748742,0.0005349757655666816,-5.0211128091488934e-06,0.00021334763892138776,0.00027818259181792634,-2.0122546724927336e-05,0.9991868416426146
